image;nrings;nsectors;empty_seg;transmission;SkyViewFactor;LAI_norman;LAI_lang;LAI_miller;LAI_licor_gen;LAI_licor;linm_LAI_norman;linm_LAI_lang;linm_LAI_miller;linm_LAI_licor_gen;logm_LAI_norman;logm_LAI_lang;logm_LAI_miller;logm_LAI_licor_gen;CI_LAI_norman;CI_LAI_lang;CI_LAI_miller;CI_LAI_licor_gen;MTA_Lang;rHV_norman;MLA_norman;linm_MTA_Lang;linm_rHV_norman;linm_MLA_norman;logm_MTA_Lang;logm_rHV_norman;logm_MLA_norman
test_images/dav_1_20140721.jpg;5;1;0;0.6113147378521677;0.837872555491056;0.8313897903773892;0.8040771731442979;0.6058420063030916;0.7815928958154671;0.7854818343245792;0;0;0;0;0;0;0;0;0;0;0;0;68.82163694488703;0.152734375;84.04455225015818;0;0;0;0;0;0
test_images/ldf2_3_20140721.jpg;5;1;0;0.8460308848470524;1.2640964004153714;0.3783921678654544;0.2954173714927877;0.1970594970292281;0.28916527056609254;0.22701670695781334;0;0;0;0;0;0;0;0;0;0;0;0;64.39424016908562;0.103515625;85.91426363198471;0;0;0;0;0;0
test_images/ldf2_4_20140721.jpg;5;1;0;0.8455091414903521;1.2627553465542405;0.38058489575770854;0.2969711675868384;0.19807422290471638;0.2907503627557477;0.22862788365450074;0;0;0;0;0;0;0;0;0;0;0;0;64.43460192020382;0.103515625;85.91426363198471;0;0;0;0;0;0
test_images/dav_2_20140721.jpg;5;1;0;0.6094293793199869;0.8339117474319786;0.838910138719197;0.8112646876725971;0.6110988313874752;0.7884765929102872;0.7936839961581954;0;0;0;0;0;0;0;0;0;0;0;0;69.12875129291027;0.152734375;84.04455225015818;0;0;0;0;0;0
test_images/hdf1_1_20140721.jpg;5;1;0;0.4251313482400665;0.6134521992100861;1.1770217590410332;1.107919041264751;0.9188145622648215;1.1300697975268705;1.1883839916989705;0;0;0;0;0;0;0;0;0;0;0;0;54.527566634342044;0.869921875;61.430486059181725;0;0;0;0;0;0
test_images/hdf1_4_20140721.jpg;5;1;0;0.4113871545989798;0.5995786577637862;1.2161449152355825;1.1321435070895036;0.9458579953179568;1.163215386863762;1.1888769086958035;0;0;0;0;0;0;0;0;0;0;0;0;52.033491574125065;0.9121093749999999;60.33611328451978;0;0;0;0;0;0
test_images/ldf2_1_20140721.jpg;5;1;0;0.8394034721765238;1.2473620022388663;0.40389271902772;0.3146526415174047;0.20982597973396344;0.3083134183245308;0.24828557019242944;0;0;0;0;0;0;0;0;0;0;0;0;64.90500798441758;0.103515625;85.91426363198471;0;0;0;0;0;0
test_images/dav_3_20140721.jpg;5;1;0;0.6105581664933009;0.8418586556926078;0.8214820800390846;0.792956792615003;0.5999850773119357;0.7726840200583753;0.7765150802822325;0;0;0;0;0;0;0;0;0;0;0;0;67.44240689567896;0.187890625;82.73693611993484;0;0;0;0;0;0
test_images/hdf1_2_20140721.jpg;5;1;0;0.4250281365910604;0.6130943884613549;1.1782064094481075;1.1089914428086403;0.9194939201892427;1.1310410177283687;1.1896131988188698;0;0;0;0;0;0;0;0;0;0;0;0;54.58750428102346;0.869921875;61.430486059181725;0;0;0;0;0;0
test_images/hdf1_3_20140721.jpg;5;1;0;0.42757529392529897;0.6195034076945996;1.1684088894548135;1.0953134503570718;0.90975329672633;1.119644917260667;1.1726095720377259;0;0;0;0;0;0;0;0;0;0;0;0;54.03954789644458;0.876953125;61.24648376268322;0;0;0;0;0;0
test_images/dav_4_20140721.jpg;5;1;0;0.6068768902787003;0.8346146029225937;0.8358452353470608;0.8060318668953714;0.6096294588387391;0.7854932966705265;0.789591474985051;0;0;0;0;0;0;0;0;0;0;0;0;67.83130483632924;0.187890625;82.73693611993484;0;0;0;0;0;0
test_images/ldf2_2_20140721.jpg;5;1;0;0.8373268560321723;1.2421369478387687;0.41198923166724044;0.32082230404634315;0.21393005231752016;0.3144295432210865;0.25250452371706467;0;0;0;0;0;0;0;0;0;0;0;0;65.08253339823787;0.103515625;85.91426363198471;0;0;0;0;0;0
