Site,Plot,Area Sampled (m2),Species,BD_cm,,,,,,,,,,
LBR,1,10,Betula,0.32,,,,,,,,,,
LBR,1,10,Betula,0.34,,,,,,,,,,
LBR,1,10,Betula,0.69,,,,,,,,,,
LBR,1,10,Betula,0.58,,,,,,,,,,
LBR,1,10,Betula,0.45,,,,,,,,,,
LBR,1,10,Betula,1.94,,,,,,,,,,
LBR,1,10,Betula,0.46,,,,,,,,,,
LBR,1,10,Betula,0.86,,,,,,,,,,
LBR,1,10,Betula,0.63,,,,,,,,,,
LBR,1,10,Betula,1.53,,,,,,,,,,
LBR,1,10,Betula,0.6,,,,,,,,,,
LBR,1,10,Betula,0.54,,,,,,,,,,
LBR,1,10,Betula,0.75,,,,,,,,,,
LBR,1,10,Betula,0.3,,,,,,,,,,
LBR,1,10,Betula,0.25,,,,,,,,,,
LBR,1,10,Betula,0.32,,,,,,,,,,
LBR,1,10,Betula,0.95,,,,,,,,,,
LBR,1,10,Betula,0.88,,,,,,,,,,
LBR,1,10,Salix,0.75,,,,,,,,,,
LBR,1,10,Salix,0.1,,,,,,,,,,
LBR,1,10,Salix,1.18,,,,,,,,,,
LBR,1,10,Salix,0.24,,,,,,,,,,
LBR,1,10,Betula,0.44,,,,,,,,,,
LBR,1,10,Betula,0.28,,,,,,,,,,
LBR,1,10,Betula,0.28,,,,,,,,,,
LBR,1,10,Betula,0.36,,,,,,,,,,
LBR,1,10,Betula,0.45,,,,,,,,,,
LBR,1,10,Betula,0.54,,,,,,,,,,
LBR,1,10,Betula,0.49,,,,,,,,,,
LBR,1,10,Betula,0.21,,,,,,,,,,
LBR,1,10,Betula,0.48,,,,,,,,,,
LBR,1,10,Betula,1,,,,,,,,,,
LBR,1,10,Betula,0.61,,,,,,,,,,
LBR,1,10,Betula,0.4,,,,,,,,,,
LBR,1,10,Betula,0.54,,,,,,,,,,
LBR,1,10,Betula,0.35,,,,,,,,,,
LBR,1,10,Betula,0.45,,,,,,,,,,
LBR,1,10,Betula,0.7,,,,,,,,,,
LBR,1,10,Betula,0.39,,,,,,,,,,
LBR,1,10,Betula,0.55,,,,,,,,,,
LBR,1,10,Betula,0.49,,,,,,,,,,
LBR,1,10,Betula,0.85,,,,,,,,,,
LBR,1,10,Betula,0.62,,,,,,,,,,
LBR,1,10,Betula,0.25,,,,,,,,,,
LBR,1,10,Betula,0.76,,,,,,,,,,
LBR,1,10,Betula,0.38,,,,,,,,,,
LBR,1,10,Betula,0.82,,,,,,,,,,
LBR,1,10,Betula,0.43,,,,,,,,,,
LBR,1,10,Betula,0.33,,,,,,,,,,
LBR,1,10,Betula,0.26,,,,,,,,,,
LBR,1,10,Betula,0.84,,,,,,,,,,
LBR,1,10,Betula,0.26,,,,,,,,,,
LBR,1,10,Betula,0.35,,,,,,,,,,
LBR,1,10,Betula,0.25,,,,,,,,,,
LBR,1,10,Betula,0.4,,,,,,,,,,
LBR,1,10,Betula,0.35,,,,,,,,,,
LBR,1,10,Betula,0.65,,,,,,,,,,
LBR,1,10,Betula,0.74,,,,,,,,,,
LBR,1,10,Betula,0.55,,,,,,,,,,
LBR,1,10,Betula,0.45,,,,,,,,,,
LBR,1,10,Betula,0.5,,,,,,,,,,
LBR,1,10,Betula,0.76,,,,,,,,,,
LBR,1,10,Betula,0.46,,,,,,,,,,
LBR,1,10,Betula,0.3,,,,,,,,,,
LBR,1,10,Betula,0.32,,,,,,,,,,
LBR,1,10,Betula,0.45,,,,,,,,,,
LBR,1,10,Betula,0.32,,,,,,,,,,
LBR,1,10,Betula,0.42,,,,,,,,,,
LBR,1,10,Betula,0.25,,,,,,,,,,
LBR,1,10,Betula,0.2,,,,,,,,,,
LBR,1,10,Betula,0.49,,,,,,,,,,
LBR,1,10,Betula,0.27,,,,,,,,,,
LBR,1,10,Betula,0.27,,,,,,,,,,
LBR,1,10,Betula,0.27,,,,,,,,,,
LBR,1,10,Betula,0.71,,,,,,,,,,
LBR,1,10,Betula,0.58,,,,,,,,,,
LBR,1,10,Betula,0.32,,,,,,,,,,
LBR,1,10,Betula,0.6,,,,,,,,,,
LBR,1,10,Betula,0.95,,,,,,,,,,
LBR,1,10,Betula,0.7,,,,,,,,,,
LBR,1,10,Betula,0.22,,,,,,,,,,
LBR,1,10,Betula,1,,,,,,,,,,
LBR,1,10,Betula,0.7,,,,,,,,,,
LBR,1,10,Betula,0.56,,,,,,,,,,
LBR,1,10,Betula,0.47,,,,,,,,,,
LBR,1,10,Betula,0.35,,,,,,,,,,
LBR,1,10,Betula,0.3,,,,,,,,,,
LBR,1,10,Betula,0.8,,,,,,,,,,
LBR,1,10,Betula,0.71,,,,,,,,,,
LBR,1,10,Betula,0.55,,,,,,,,,,
LBR,1,10,Betula,0.83,,,,,,,,,,
LBR,1,10,Betula,0.49,,,,,,,,,,
LBR,1,10,Betula,0.36,,,,,,,,,,
LBR,1,10,Betula,0.81,,,,,,,,,,
LBR,1,10,Betula,1.04,,,,,,,,,,
LBR,1,10,Betula,0.1,,,,,,,,,,
LBR,1,10,Betula,0.3,,,,,,,,,,
LBR,1,10,Betula,0.59,,,,,,,,,,
LBR,1,10,Betula,0.25,,,,,,,,,,
LBR,1,10,Betula,0.23,,,,,,,,,,
LBR,1,10,Betula,0.2,,,,,,,,,,
LBR,1,10,Betula,0.38,,,,,,,,,,
LBR,1,10,Betula,0.39,,,,,,,,,,
LBR,1,10,Betula,0.92,,,,,,,,,,
